draw_date,draw_time,actual_pick3,actual_fireball,regime,struct_weight,top4,hits_in_top4,any_hit,hit_2plus
2010-04-14,EVENING,870,,0,0.02,0123,1,1,0
2010-04-15,MIDDAY,008,5,0,0.02,0178,2,1,1
2010-04-15,EVENING,265,8,2,0.09,0578,2,1,1
2010-04-16,MIDDAY,016,0,2,0.09,0258,1,1,0
2010-04-16,EVENING,221,2,1,0.05,0568,0,0,0
2010-04-17,MIDDAY,454,0,1,0.05,0568,2,1,1
2010-04-17,EVENING,519,2,0,0.02,0158,2,1,1
2010-04-18,MIDDAY,150,4,1,0.05,0125,3,1,1
2010-04-18,EVENING,978,5,2,0.09,0125,1,1,0
2010-04-19,MIDDAY,809,1,1,0.05,0158,3,1,1
2010-04-19,EVENING,191,9,2,0.09,0158,1,1,0
2010-04-20,MIDDAY,643,8,2,0.09,0158,1,1,0
2010-04-20,EVENING,467,1,0,0.02,0158,1,1,0
2010-04-21,MIDDAY,948,6,2,0.09,0158,1,1,0
2010-04-21,EVENING,535,4,2,0.09,0158,1,1,0
2010-04-22,MIDDAY,398,9,1,0.05,1458,1,1,0
2010-04-22,EVENING,529,5,1,0.05,1589,2,1,1
2010-04-23,MIDDAY,880,3,1,0.05,1589,1,1,0
2010-04-23,EVENING,087,5,0,0.02,1589,2,1,1
2010-04-24,MIDDAY,569,8,2,0.09,0589,3,1,1
2010-04-24,EVENING,561,0,2,0.09,0589,2,1,1
2010-04-25,MIDDAY,348,5,2,0.09,0589,2,1,1
2010-04-25,EVENING,679,5,1,0.05,0589,2,1,1
2010-04-26,MIDDAY,226,3,1,0.05,0589,0,0,0
2010-04-26,EVENING,372,6,1,0.05,5689,1,1,0
2010-04-27,MIDDAY,471,2,3,0.04,0568,0,0,0
2010-04-27,EVENING,072,3,2,0.09,5689,0,0,0
2010-04-28,MIDDAY,474,4,2,0.09,0568,0,0,0
2010-04-28,EVENING,241,0,1,0.05,4568,1,1,0
2010-04-29,MIDDAY,735,4,1,0.05,1458,2,1,1
2010-04-29,EVENING,936,2,1,0.05,4578,0,0,0
2010-04-30,MIDDAY,029,7,1,0.05,3456,0,0,0
2010-04-30,EVENING,744,9,2,0.09,4579,3,1,1
2010-05-01,MIDDAY,022,0,2,0.09,4579,0,0,0
2010-05-01,EVENING,058,7,0,0.02,2479,1,1,0
2010-05-02,MIDDAY,868,0,1,0.05,2457,0,0,0
2010-05-02,EVENING,041,0,2,0.09,0457,2,1,1
2010-05-03,MIDDAY,862,8,1,0.05,0457,0,0,0
