draw_date,draw_time,pick3_d1,pick3_d2,pick3_d3,fireball,pick3_str,sorted_str,has_double,has_triple,repeated_digit,digit_counts,source_url,ingested_at,updated_at,row_version,checksum
2025-12-19,EVENING,7,3,5,4,735,357,0,0,,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 0, ""5"": 1, ""6"": 0, ""7"": 1, ""8"": 0, ""9"": 0}",https://www.lotteryusa.com/illinois/daily-3/year,2026-02-08T01:33:05+00:00,2026-02-08T01:33:05+00:00,1,0d7c9a2e51e66512926f97170dac71aef7dd2414aaebad2a9aaf514385b7302f
2025-12-20,MIDDAY,5,4,0,2,540,045,0,0,,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 1, ""5"": 1, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0}",https://www.lotteryusa.com/illinois/midday-3/year,2026-02-08T01:33:05+00:00,2026-02-08T01:33:05+00:00,1,c235e6b1222df0bc47f3df67b1bda8519310f7de53619ebe5d77982aeb75faea
2025-12-20,EVENING,7,3,5,5,735,357,0,0,,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 0, ""5"": 1, ""6"": 0, ""7"": 1, ""8"": 0, ""9"": 0}",https://www.lotteryusa.com/illinois/daily-3/year,2026-02-08T01:33:05+00:00,2026-02-08T01:33:05+00:00,1,e2d9f6a9a98d23f39db6f219abd0f3f33568694821a2139f7450cee6d4077f14
2025-12-21,MIDDAY,5,4,0,6,540,045,0,0,,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 1, ""5"": 1, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0}",https://www.lotteryusa.com/illinois/midday-3/year,2026-02-08T01:33:05+00:00,2026-02-08T01:33:05+00:00,1,d5d3032884a4862ab668b7599e469d086cc12b16005fcf6a72e13e941129b098
2025-12-21,EVENING,7,3,5,8,735,357,0,0,,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 0, ""5"": 1, ""6"": 0, ""7"": 1, ""8"": 0, ""9"": 0}",https://www.lotteryusa.com/illinois/daily-3/year,2026-02-08T01:33:05+00:00,2026-02-08T01:33:05+00:00,1,63852b0fc6fbe66977b6e84f1a7a22e880e02f768a00bb22d180f2aa38ee113c
2025-12-22,MIDDAY,5,4,0,5,540,045,0,0,,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 1, ""5"": 1, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0}",https://www.lotteryusa.com/illinois/midday-3/year,2026-02-08T01:33:05+00:00,2026-02-08T01:33:05+00:00,1,238ddcb5204108b4b24b575bdc6c4bb77b1f16f344989271d1ae76414a172327
2025-12-22,EVENING,7,3,5,3,735,357,0,0,,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 0, ""5"": 1, ""6"": 0, ""7"": 1, ""8"": 0, ""9"": 0}",https://www.lotteryusa.com/illinois/daily-3/year,2026-02-08T01:33:05+00:00,2026-02-08T01:33:05+00:00,1,96b8461ec5de501e64659ebd21861412d234c5b9fc55dfe5835dae5022ffa2bd
2025-12-23,MIDDAY,5,4,0,5,540,045,0,0,,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 1, ""5"": 1, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0}",https://www.lotteryusa.com/illinois/midday-3/year,2026-02-08T01:33:05+00:00,2026-02-08T01:33:05+00:00,1,33e22312b46bc5b06431b942ce80126055774112fefb8bb577b9688dd9f0c610
2025-12-23,EVENING,7,3,5,4,735,357,0,0,,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 0, ""5"": 1, ""6"": 0, ""7"": 1, ""8"": 0, ""9"": 0}",https://www.lotteryusa.com/illinois/daily-3/year,2026-02-08T01:33:05+00:00,2026-02-08T01:33:05+00:00,1,986e6cef1a2d9124b7717e529f8ddcceecf0eab6aa8bd7e2a7534ab927c08c27
2025-12-24,MIDDAY,5,4,0,4,540,045,0,0,,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 1, ""5"": 1, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0}",https://www.lotteryusa.com/illinois/midday-3/year,2026-02-08T01:33:05+00:00,2026-02-08T01:33:05+00:00,1,7b69a05507758a8a53f3d2682f5ab3c155c17f17e6c07323636dcada50d447aa
2025-12-24,EVENING,7,3,5,4,735,357,0,0,,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 0, ""5"": 1, ""6"": 0, ""7"": 1, ""8"": 0, ""9"": 0}",https://www.lotteryusa.com/illinois/daily-3/year,2026-02-08T01:33:05+00:00,2026-02-08T01:33:05+00:00,1,2f884565d7c7cbe4a037e71311d48d753018fc99528180826224f4adb0734e99
2025-12-25,MIDDAY,5,4,0,7,540,045,0,0,,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 1, ""5"": 1, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0}",https://www.lotteryusa.com/illinois/midday-3/year,2026-02-08T01:33:05+00:00,2026-02-08T01:33:05+00:00,1,8b03c0944cd86697df335d1d6dfd1fbf36d6384a8eebd7861e3a505da2535025
